Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1,2022-04-16,MIN,@,MEM,W 130-117,*,40:16,12,23,.522,4,11,.364,8,12,.667,.609,8,8,1.000,0,2,2,6,1,2,2,5,36,27.9,12
2,2,2,2022-04-19,MIN,@,MEM,L 96-124,*,33:53,7,16,.438,4,10,.400,3,6,.500,.563,2,2,1.000,1,5,6,1,1,0,5,4,20,8.9,-16
3,3,3,2022-04-21,MIN,,MEM,L 95-104,*,40:01,6,13,.462,4,9,.444,2,4,.500,.615,3,6,.500,0,7,7,2,1,0,2,3,19,12.4,-9
4,4,4,2022-04-23,MIN,,MEM,W 119-118,*,37:05,7,14,.500,4,8,.500,3,6,.500,.643,6,6,1.000,1,3,4,4,2,3,3,2,24,21.7,-2
5,5,5,2022-04-26,MIN,@,MEM,L 109-111,*,34:50,8,20,.400,3,9,.333,5,11,.455,.475,3,4,.750,1,0,1,0,0,0,1,5,22,8.5,-2
6,6,6,2022-04-29,MIN,,MEM,L 106-114,*,40:54,10,24,.417,4,10,.400,6,14,.429,.500,6,8,.750,1,4,5,5,2,2,2,3,30,22.0,-5
7,7,1,2023-04-16,MIN,@,DEN,L 80-109,*,27:41,6,15,.400,1,4,.250,5,11,.455,.433,5,6,.833,0,2,2,5,2,1,1,4,18,13.7,-12
8,8,2,2023-04-19,MIN,@,DEN,L 113-122,*,41:43,14,23,.609,6,10,.600,8,13,.615,.739,7,8,.875,1,1,2,4,2,3,1,4,41,35.4,-3
9,9,3,2023-04-21,MIN,,DEN,L 111-120,*,43:57,10,22,.455,3,11,.273,7,11,.636,.523,13,15,.867,0,7,7,5,3,1,3,1,36,29.7,-7
10,10,4,2023-04-23,MIN,,DEN,W 114-108 (OT),*,45:22,12,27,.444,5,12,.417,7,15,.467,.537,5,6,.833,1,5,6,5,2,3,2,1,34,26.9,7
11,11,5,2023-04-25,MIN,@,DEN,L 109-112,*,39:55,13,27,.481,0,6,.000,13,21,.619,.481,3,4,.750,1,7,8,7,0,2,1,3,29,21.8,0
12,12,1,2024-04-20,MIN,,PHO,W 120-95,*,35:48,14,24,.583,4,8,.500,10,16,.625,.667,1,2,.500,1,8,9,6,2,0,6,4,33,23.1,19
13,13,2,2024-04-23,MIN,,PHO,W 105-93,*,37:53,3,12,.250,2,6,.333,1,6,.167,.333,7,8,.875,0,5,5,8,3,1,3,4,15,13.6,15
14,14,3,2024-04-26,MIN,@,PHO,W 126-109,*,42:58,12,23,.522,1,5,.200,11,18,.611,.543,11,11,1.000,2,7,9,5,2,0,5,1,36,28.3,19
15,15,4,2024-04-28,MIN,@,PHO,W 122-116,*,40:57,13,23,.565,7,13,.538,6,10,.600,.717,7,10,.700,4,5,9,6,1,2,2,2,40,36.0,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,5,2024-05-04,MIN,@,DEN,W 106-99,*,42:14,17,29,.586,3,7,.429,14,22,.636,.638,6,6,1.000,2,5,7,3,1,2,1,1,43,35.5,10
17,17,6,2024-05-06,MIN,@,DEN,W 106-80,*,37:19,11,17,.647,1,4,.250,10,13,.769,.676,4,7,.571,0,2,2,7,2,0,4,2,27,21.0,18
18,18,7,2024-05-10,MIN,,DEN,L 90-117,*,37:08,8,15,.533,3,8,.375,5,7,.714,.633,0,0,,0,6,6,5,0,1,5,3,19,11.5,-32
19,19,8,2024-05-12,MIN,,DEN,L 107-115,*,45:20,16,25,.640,5,8,.625,11,17,.647,.740,7,8,.875,0,5,5,5,2,1,3,2,44,36.4,5
20,20,9,2024-05-14,MIN,@,DEN,L 97-112,*,44:15,5,15,.333,1,5,.200,4,10,.400,.367,7,8,.875,0,4,4,9,1,0,4,2,18,12.8,-12
21,21,10,2024-05-16,MIN,,DEN,W 115-70,*,33:39,8,17,.471,4,9,.444,4,8,.500,.588,7,8,.875,0,4,4,4,3,0,1,2,27,23.1,43
22,22,11,2024-05-19,MIN,@,DEN,W 98-90,*,43:47,6,24,.250,2,10,.200,4,14,.286,.292,2,2,1.000,0,8,8,7,2,0,1,2,16,9.1,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
