Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,224,1,2023-10-25,MIN,@,TOR,L 94-97,*,38:18,8,27,.296,4,7,.571,4,20,.200,.370,6,6,1.000,5,9,14,1,0,0,2,1,26,14.8,0
2,225,2,2023-10-28,MIN,,MIA,W 106-90,*,33:22,7,15,.467,3,5,.600,4,10,.400,.567,2,2,1.000,0,2,2,7,0,0,2,3,19,13.6,21
3,226,3,2023-10-30,MIN,@,ATL,L 113-127,*,37:47,13,21,.619,5,8,.625,8,13,.615,.738,0,1,.000,0,5,5,7,1,0,5,4,31,21.9,-9
4,227,4,2023-11-01,MIN,,DEN,W 110-89,*,31:50,8,16,.500,1,4,.250,7,12,.583,.531,7,8,.875,0,2,2,1,2,0,4,1,24,14.5,11
5,228,5,2023-11-04,MIN,,UTA,W 123-95,*,35:44,13,19,.684,2,4,.500,11,15,.733,.737,3,5,.600,0,8,8,6,1,0,6,0,31,23.7,27
6,229,6,2023-11-06,MIN,,BOS,W 114-109 (OT),*,38:08,15,25,.600,2,8,.250,13,17,.765,.640,6,7,.857,0,9,9,7,1,0,3,5,38,29.7,18
7,230,7,2023-11-08,MIN,,NOP,W 122-101,*,33:04,10,22,.455,2,8,.250,8,14,.571,.500,4,5,.800,0,3,3,8,3,2,3,1,26,21.7,35
8,231,8,2023-11-10,MIN,@,SAS,W 117-110,*,37:07,9,21,.429,2,8,.250,7,13,.538,.476,8,11,.727,2,5,7,5,2,1,4,1,28,20.4,3
9,232,9,2023-11-12,MIN,@,GSW,W 116-110,*,37:46,11,27,.407,1,9,.111,10,18,.556,.426,10,10,1.000,1,5,6,7,2,0,4,0,33,23.6,15
10,233,10,2023-11-14,MIN,@,GSW,W 104-101,*,36:18,7,16,.438,3,6,.500,4,10,.400,.531,3,5,.600,0,4,4,4,3,0,5,1,20,12.4,-9
11,234,11,2023-11-15,MIN,@,PHO,L 115-133,*,30:31,4,16,.250,1,3,.333,3,13,.231,.281,4,4,1.000,1,3,4,4,1,1,1,0,13,8.5,-29
12,235,12,2023-11-18,MIN,@,NOP,W 121-120,*,30:08,9,19,.474,5,10,.500,4,9,.444,.605,0,0,,0,3,3,4,0,0,3,6,23,11.6,13
13,236,13,2023-11-20,MIN,,NYK,W 117-100,*,39:08,9,21,.429,1,6,.167,8,15,.533,.452,4,4,1.000,2,8,10,5,2,0,3,1,23,17.8,9
14,237,14,2023-11-22,MIN,,PHI,W 112-99,*,35:48,11,22,.500,5,9,.556,6,13,.462,.614,4,4,1.000,2,4,6,6,2,0,2,2,31,26.0,19
15,238,15,2023-11-24,MIN,,SAC,L 111-124,*,39:32,8,21,.381,2,9,.222,6,12,.500,.429,17,18,.944,0,7,7,5,2,2,4,2,35,27.3,5
16,239,16,2023-11-26,MIN,@,MEM,W 119-97,*,33:59,8,14,.571,1,4,.250,7,10,.700,.607,7,7,1.000,0,5,5,7,0,1,2,3,24,21.3,23
17,240,17,2023-11-28,MIN,,OKC,W 106-103,*,28:01,7,16,.438,3,6,.500,4,10,.400,.531,4,6,.667,0,5,5,1,0,1,2,2,21,11.9,0
17,,18,2023-11-30,MIN,,UTA,W 101-90,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
