Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1,2015-04-18,MIL,@,CHI,L 91-103,*,32:39,4,13,.308,0,1,.000,4,12,.333,.308,4,4,1.000,1,4,5,4,0,0,1,4,12,6.6,-10
2,2,2,2015-04-20,MIL,@,CHI,L 82-91,*,37:52,2,11,.182,0,0,,2,11,.182,.182,2,2,1.000,2,9,11,4,2,2,2,4,6,5.8,-1
3,3,3,2015-04-23,MIL,,CHI,L 106-113 (2OT),*,51:17,10,22,.455,0,0,,10,22,.455,.455,5,8,.625,6,6,12,2,0,2,3,3,25,17.0,0
4,4,4,2015-04-25,MIL,,CHI,W 92-90,*,26:04,3,7,.429,0,0,,3,7,.429,.429,4,6,.667,1,7,8,2,1,0,1,3,10,8.5,-11
5,5,5,2015-04-27,MIL,@,CHI,W 94-88,*,37:42,5,12,.417,0,0,,5,12,.417,.417,1,1,1.000,2,1,3,2,0,4,2,3,11,7.3,-4
6,6,6,2015-04-30,MIL,,CHI,L 66-120,*,15:14,2,6,.333,0,0,,2,6,.333,.333,1,2,.500,0,3,3,2,0,1,2,1,5,1.8,-23
7,7,1,2017-04-15,MIL,@,TOR,W 97-83,*,38:20,13,18,.722,0,2,.000,13,16,.813,.722,2,5,.400,0,8,8,3,2,1,1,4,28,24.0,10
8,8,2,2017-04-18,MIL,@,TOR,L 100-106,*,42:14,9,24,.375,1,3,.333,8,21,.381,.396,5,7,.714,6,9,15,7,2,0,4,3,24,18.6,6
9,9,3,2017-04-20,MIL,,TOR,W 104-77,*,32:37,7,10,.700,2,2,1.000,5,8,.625,.800,3,8,.375,0,8,8,4,2,2,3,1,19,18.0,29
10,10,4,2017-04-22,MIL,,TOR,L 76-87,*,42:21,6,19,.316,0,1,.000,6,18,.333,.316,2,4,.500,3,6,9,4,2,2,7,4,14,3.8,-16
11,11,5,2017-04-24,MIL,@,TOR,L 93-118,*,40:47,12,18,.667,0,0,,12,18,.667,.667,6,9,.667,0,8,8,3,3,3,2,5,30,26.6,-24
12,12,6,2017-04-27,MIL,,TOR,L 89-92,*,46:39,13,23,.565,1,2,.500,12,21,.571,.587,7,13,.538,1,8,9,3,2,2,3,4,34,24.7,1
13,13,1,2018-04-15,MIL,@,BOS,L 107-113 (OT),*,44:58,11,21,.524,0,1,.000,11,20,.550,.524,13,16,.813,2,11,13,7,3,0,4,6,35,29.7,-5
14,14,2,2018-04-17,MIL,@,BOS,L 106-120,*,43:01,13,17,.765,0,1,.000,13,16,.813,.765,4,9,.444,1,8,9,8,1,1,3,3,30,27.5,-13
15,15,3,2018-04-20,MIL,,BOS,W 116-92,*,27:21,8,13,.615,3,4,.750,5,9,.556,.731,0,0,,0,5,5,6,2,2,2,5,19,18.2,16
16,16,4,2018-04-22,MIL,,BOS,W 104-102,*,40:26,12,20,.600,0,2,.000,12,18,.667,.600,3,6,.500,2,5,7,5,0,0,2,4,27,19.4,-8
17,17,5,2018-04-24,MIL,@,BOS,L 87-92,*,41:27,5,10,.500,0,0,,5,10,.500,.500,6,9,.667,0,10,10,9,2,2,2,4,16,18.9,-2
18,18,6,2018-04-26,MIL,,BOS,W 97-86,*,41:24,13,23,.565,0,2,.000,13,21,.619,.565,5,8,.625,1,13,14,4,1,0,0,1,31,26.9,17
19,19,7,2018-04-28,MIL,@,BOS,L 96-112,*,41:34,7,17,.412,1,4,.250,6,13,.462,.441,7,7,1.000,2,7,9,5,1,1,4,5,22,15.6,-16
20,20,1,2019-04-14,MIL,,DET,W 121-86,*,23:28,9,17,.529,1,5,.200,8,12,.667,.559,5,12,.417,3,14,17,4,1,0,1,1,24,21.6,30
21,21,2,2019-04-17,MIL,,DET,W 120-99,*,29:50,11,18,.611,1,3,.333,10,15,.667,.639,3,5,.600,2,10,12,4,0,2,5,4,26,19.0,16
22,22,3,2019-04-20,MIL,@,DET,W 119-103,*,27:59,5,13,.385,0,3,.000,5,10,.500,.385,4,6,.667,4,6,10,3,1,0,4,5,14,7.8,-7
23,23,4,2019-04-22,MIL,@,DET,W 127-104,*,31:55,12,23,.522,2,6,.333,10,17,.588,.565,15,20,.750,2,7,9,3,1,4,1,2,41,35.3,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,5,2019-04-28,MIL,,BOS,L 90-112,*,34:18,7,21,.333,3,5,.600,4,16,.250,.405,5,10,.500,1,7,8,2,1,1,2,1,22,11.6,-24
25,25,6,2019-04-30,MIL,,BOS,W 123-102,*,31:02,7,15,.467,2,4,.500,5,11,.455,.533,13,18,.722,2,7,9,4,2,1,1,2,29,26.5,20
26,26,7,2019-05-03,MIL,@,BOS,W 123-116,*,39:05,8,13,.615,0,1,.000,8,12,.667,.615,16,22,.727,0,13,13,8,2,3,5,5,32,30.3,7
27,27,8,2019-05-06,MIL,@,BOS,W 113-101,*,34:28,15,22,.682,2,5,.400,13,17,.765,.727,7,10,.700,5,11,16,4,1,1,2,4,39,36.1,4
28,28,9,2019-05-08,MIL,,BOS,W 116-91,*,31:07,8,14,.571,0,2,.000,8,12,.667,.571,4,5,.800,0,8,8,8,2,2,4,3,20,19.2,35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,10,2019-05-15,MIL,,TOR,W 108-100,*,37:15,7,16,.438,1,3,.333,6,13,.462,.469,9,12,.750,4,10,14,6,2,3,5,1,24,23.1,8
30,30,11,2019-05-17,MIL,,TOR,W 125-103,*,34:47,10,20,.500,1,4,.250,9,16,.563,.525,9,12,.750,4,13,17,5,1,2,4,2,30,26.6,17
31,31,12,2019-05-19,MIL,@,TOR,L 112-118 (2OT),*,44:41,5,16,.313,0,3,.000,5,13,.385,.313,2,7,.286,3,20,23,7,1,4,8,6,12,7.2,3
32,32,13,2019-05-21,MIL,@,TOR,L 102-120,*,34:12,9,17,.529,1,3,.333,8,14,.571,.559,6,10,.600,2,8,10,5,1,3,4,3,25,20.3,-19
33,33,14,2019-05-23,MIL,,TOR,L 99-105,*,39:15,9,18,.500,2,3,.667,7,15,.467,.556,4,9,.444,1,5,6,6,0,1,2,5,24,16.1,-2
34,34,15,2019-05-25,MIL,@,TOR,L 94-100,*,40:32,7,18,.389,2,5,.400,5,13,.385,.444,5,10,.500,3,8,11,4,2,3,2,4,21,17.0,3
35,35,1,2020-08-18,MIL,,ORL,L 110-122,*,34:28,12,25,.480,3,7,.429,9,18,.500,.540,4,9,.444,4,13,17,7,1,0,5,5,31,21.9,-9
36,36,2,2020-08-20,MIL,,ORL,W 111-96,*,31:36,10,23,.435,1,5,.200,9,18,.500,.457,7,8,.875,5,15,20,5,0,0,7,4,28,18.4,7
37,37,3,2020-08-22,MIL,@,ORL,W 121-107,*,30:36,12,14,.857,2,3,.667,10,11,.909,.929,9,12,.750,1,10,11,7,2,1,2,2,35,37.3,20
38,38,4,2020-08-24,MIL,@,ORL,W 121-106,*,33:36,14,21,.667,1,5,.200,13,16,.813,.690,2,6,.333,4,11,15,8,0,1,2,4,31,29.1,20
39,39,5,2020-08-29,MIL,,ORL,W 118-104,*,28:23,11,17,.647,3,6,.500,8,11,.727,.735,3,5,.600,2,15,17,3,0,1,3,5,28,23.4,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,40,6,2020-08-31,MIL,,MIA,L 104-115,*,36:36,6,12,.500,2,5,.400,4,7,.571,.583,4,12,.333,2,8,10,9,1,1,6,3,18,13.4,-14
41,41,7,2020-09-02,MIL,,MIA,L 114-116,*,35:39,10,18,.556,0,1,.000,10,17,.588,.556,9,13,.692,4,10,14,3,0,1,2,4,29,23.8,-7
42,42,8,2020-09-04,MIL,@,MIA,L 100-115,*,34:55,7,21,.333,0,7,.000,7,14,.500,.333,7,12,.583,4,12,16,9,1,2,3,3,21,18.0,-13
