Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,590,1,2021-10-19,MIL,,BRK,W 127-104,*,30:57,12,25,.480,1,4,.250,11,21,.524,.500,7,9,.778,5,9,14,7,1,2,4,4,32,26.4,25
2,591,2,2021-10-21,MIL,@,MIA,L 95-137,*,22:48,4,11,.364,1,3,.333,3,8,.375,.409,6,10,.600,1,9,10,2,3,0,2,3,15,11.9,-25
3,592,3,2021-10-23,MIL,@,SAS,W 121-111,*,30:24,7,15,.467,1,2,.500,6,13,.462,.500,6,8,.750,0,8,8,8,0,3,5,4,21,16.0,19
4,593,4,2021-10-25,MIL,@,IND,W 119-109,*,36:16,10,18,.556,0,2,.000,10,16,.625,.556,10,13,.769,1,9,10,9,1,2,2,2,30,29.5,14
5,594,5,2021-10-27,MIL,,MIN,L 108-113,*,34:53,15,23,.652,3,6,.500,12,17,.706,.717,7,9,.778,4,12,16,7,0,3,2,1,40,40.1,9
6,595,6,2021-10-30,MIL,,SAS,L 93-102,*,34:04,11,18,.611,0,3,.000,11,15,.733,.611,6,11,.545,0,13,13,3,0,0,7,5,28,14.8,-3
7,596,7,2021-10-31,MIL,,UTA,L 95-107,*,34:55,10,20,.500,3,11,.273,7,9,.778,.575,2,2,1.000,2,5,7,6,2,2,2,3,25,22.3,-10
8,597,8,2021-11-02,MIL,@,DET,W 117-89,*,26:48,9,16,.563,3,7,.429,6,9,.667,.656,7,7,1.000,0,8,8,9,0,4,3,2,28,28.1,22
9,598,9,2021-11-05,MIL,,NYK,L 98-113,*,30:30,7,17,.412,2,7,.286,5,10,.500,.471,9,11,.818,1,6,7,4,2,0,3,3,25,18.2,-5
10,599,10,2021-11-07,MIL,@,WAS,L 94-101,*,39:11,12,26,.462,0,4,.000,12,22,.545,.462,5,12,.417,6,12,18,5,3,1,3,4,29,23.2,-6
11,600,11,2021-11-09,MIL,@,PHI,W 118-109,*,36:13,12,26,.462,0,2,.000,12,24,.500,.462,7,13,.538,1,15,16,4,0,2,0,1,31,24.2,13
12,601,12,2021-11-10,MIL,@,NYK,W 112-100,*,37:40,5,15,.333,2,5,.400,3,10,.300,.400,3,4,.750,2,13,15,8,1,2,3,4,15,14.8,21
12,,13,2021-11-12,MIL,@,BOS,L 113-122 (OT),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,602,14,2021-11-14,MIL,@,ATL,L 100-120,*,33:44,9,21,.429,1,5,.200,8,16,.500,.452,7,12,.583,1,4,5,6,1,1,3,5,26,15.7,-9
14,603,15,2021-11-17,MIL,,LAL,W 109-102,*,36:17,18,23,.783,3,4,.750,15,19,.789,.848,8,11,.727,2,7,9,3,1,1,4,1,47,39.8,1
15,604,16,2021-11-19,MIL,,OKC,W 96-89,*,35:45,6,16,.375,0,4,.000,6,12,.500,.375,9,11,.818,0,19,19,7,2,4,5,5,21,19.8,23
16,605,17,2021-11-20,MIL,,ORL,W 117-108,*,30:22,8,16,.500,1,3,.333,7,13,.538,.531,15,23,.652,2,18,20,5,2,3,5,4,32,28.6,15
17,606,18,2021-11-22,MIL,,ORL,W 123-92,*,23:44,4,12,.333,0,4,.000,4,8,.500,.333,4,6,.667,2,6,8,9,1,2,1,3,12,14.1,38
18,607,19,2021-11-24,MIL,,DET,W 114-93,*,31:10,12,17,.706,1,4,.250,11,13,.846,.735,8,10,.800,2,5,7,5,2,2,1,2,33,33.1,25
19,608,20,2021-11-26,MIL,@,DEN,W 120-109,*,30:06,10,13,.769,1,1,1.000,9,12,.750,.808,3,9,.333,0,13,13,7,0,1,1,0,24,25.0,18
20,609,21,2021-11-28,MIL,@,IND,W 118-100,*,32:40,10,15,.667,0,2,.000,10,13,.769,.667,6,10,.600,4,9,13,3,0,1,5,1,26,20.8,12
21,610,22,2021-12-01,MIL,,CHO,W 127-125,*,37:41,15,24,.625,1,4,.250,14,20,.700,.646,9,13,.692,3,9,12,9,1,0,6,3,40,32.5,4
21,,23,2021-12-02,MIL,@,TOR,L 93-97,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
