Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,290,1,2021-10-20,BOS,@,NYK,L 134-138 (2OT),*,44:37,7,30,.233,2,15,.133,5,15,.333,.267,4,5,.800,4,7,11,4,1,1,3,2,20,7.0,-3
2,291,2,2021-10-22,BOS,,TOR,L 83-115,*,30:20,8,14,.571,2,4,.500,6,10,.600,.643,0,1,.000,0,6,6,4,0,2,5,3,18,10.8,-12
3,292,3,2021-10-24,BOS,@,HOU,W 107-97,*,36:54,12,24,.500,4,11,.364,8,13,.615,.583,3,4,.750,0,9,9,2,1,1,1,4,31,21.8,4
4,293,4,2021-10-25,BOS,@,CHO,W 140-129 (OT),*,41:28,14,28,.500,6,12,.500,8,16,.500,.607,7,7,1.000,1,6,7,8,0,1,2,3,41,32.6,22
5,294,5,2021-10-27,BOS,,WAS,L 107-116,*,35:40,9,22,.409,1,8,.125,8,14,.571,.432,4,8,.500,1,6,7,2,0,0,2,2,23,10.7,-8
6,295,6,2021-10-30,BOS,@,WAS,L 112-115 (2OT),*,45:49,10,32,.313,0,5,.000,10,27,.370,.313,7,7,1.000,2,13,15,3,2,1,4,5,27,12.7,2
7,296,7,2021-11-01,BOS,,CHI,L 114-128,*,36:15,8,22,.364,1,4,.250,7,18,.389,.386,3,4,.750,1,3,4,3,2,0,1,3,20,10.9,-24
8,297,8,2021-11-03,BOS,@,ORL,W 92-79,*,33:55,4,16,.250,1,6,.167,3,10,.300,.281,5,8,.625,0,6,6,3,1,2,2,1,14,7.1,12
9,298,9,2021-11-04,BOS,@,MIA,W 95-78,*,29:24,3,13,.231,2,5,.400,1,8,.125,.308,2,3,.667,0,8,8,2,1,0,1,4,10,3.9,10
10,299,10,2021-11-06,BOS,@,DAL,L 104-107,*,38:27,12,19,.632,6,8,.750,6,11,.545,.789,2,2,1.000,1,10,11,2,2,1,4,4,32,25.7,5
11,300,11,2021-11-10,BOS,,TOR,W 104-88,*,36:33,8,24,.333,3,7,.429,5,17,.294,.396,3,4,.750,1,10,11,7,1,0,2,3,22,14.4,18
12,301,12,2021-11-12,BOS,,MIL,W 122-113 (OT),*,41:36,10,25,.400,5,13,.385,5,12,.417,.500,2,4,.500,2,9,11,1,0,2,3,1,27,15.5,11
13,302,13,2021-11-13,BOS,@,CLE,L 89-91,*,35:22,8,22,.364,1,8,.125,7,14,.500,.386,4,5,.800,0,4,4,2,0,0,6,1,21,4.6,12
14,303,14,2021-11-15,BOS,@,CLE,W 98-92,*,35:40,7,20,.350,2,8,.250,5,12,.417,.400,7,7,1.000,1,7,8,5,1,2,2,2,23,17.7,4
15,304,15,2021-11-17,BOS,@,ATL,L 99-110,*,37:46,12,22,.545,5,12,.417,7,10,.700,.659,5,6,.833,3,6,9,5,1,1,4,2,34,27.3,-7
16,305,16,2021-11-19,BOS,,LAL,W 130-108,*,33:31,13,26,.500,4,9,.444,9,17,.529,.577,7,7,1.000,1,10,11,2,3,1,1,3,37,30.6,10
17,306,17,2021-11-20,BOS,,OKC,W 111-105,*,33:46,11,22,.500,6,12,.500,5,10,.500,.636,5,7,.714,0,8,8,5,0,1,1,2,33,26.0,22
18,307,18,2021-11-22,BOS,,HOU,W 108-90,*,33:42,10,22,.455,1,9,.111,9,13,.692,.477,9,9,1.000,0,6,6,3,1,0,1,3,30,21.3,23
19,308,19,2021-11-24,BOS,,BRK,L 104-123,*,30:19,4,16,.250,1,9,.111,3,7,.429,.281,6,8,.750,4,4,8,3,1,1,5,2,15,6.6,-33
20,309,20,2021-11-26,BOS,@,SAS,L 88-96,*,40:04,9,23,.391,2,7,.286,7,16,.438,.435,4,5,.800,3,9,12,2,1,0,2,3,24,15.1,-13
21,310,21,2021-11-28,BOS,@,TOR,W 109-97,*,37:43,2,16,.125,1,5,.200,1,11,.091,.156,3,4,.750,0,7,7,10,1,0,4,2,8,2.5,13
22,311,22,2021-12-01,BOS,,PHI,W 88-87,*,36:56,9,20,.450,3,8,.375,6,12,.500,.525,5,5,1.000,0,16,16,2,1,0,2,2,26,20.0,5
