Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,366,1,2022-10-18,BOS,,PHI,W 126-117,*,38:38,13,20,.650,2,7,.286,11,13,.846,.700,7,9,.778,0,12,12,4,1,1,3,1,35,30.1,10
2,367,2,2022-10-21,BOS,@,MIA,W 111-104,*,36:47,10,22,.455,2,7,.286,8,15,.533,.500,7,7,1.000,2,3,5,4,1,2,2,1,29,22.7,-1
3,368,3,2022-10-22,BOS,@,ORL,W 126-120,*,37:39,14,21,.667,4,10,.400,10,11,.909,.762,8,9,.889,0,8,8,1,1,2,1,2,40,34.2,6
4,369,4,2022-10-24,BOS,@,CHI,L 102-120,*,35:26,8,18,.444,4,8,.500,4,10,.400,.556,6,6,1.000,0,8,8,5,0,0,1,2,26,20.7,-8
5,370,5,2022-10-28,BOS,,CLE,L 123-132 (OT),*,42:11,11,19,.579,3,7,.429,8,12,.667,.658,7,8,.875,1,6,7,4,1,1,4,4,32,24.1,-10
6,371,6,2022-10-30,BOS,,WAS,W 112-94,*,27:25,8,15,.533,5,10,.500,3,5,.600,.700,2,2,1.000,0,4,4,3,1,0,4,0,23,16.0,10
7,372,7,2022-11-02,BOS,@,CLE,L 113-114 (OT),*,42:52,8,21,.381,2,9,.222,6,12,.500,.429,8,8,1.000,3,9,12,6,1,4,6,0,26,21.3,-16
8,373,8,2022-11-04,BOS,,CHI,W 123-119,*,40:03,8,23,.348,3,10,.300,5,13,.385,.413,17,20,.850,2,10,12,6,1,1,1,4,36,29.6,11
9,374,9,2022-11-05,BOS,@,NYK,W 133-118,*,36:31,8,17,.471,6,13,.462,2,4,.500,.647,4,4,1.000,0,4,4,5,1,2,3,3,26,20.2,12
10,375,10,2022-11-07,BOS,@,MEM,W 109-106,*,39:35,12,25,.480,3,11,.273,9,14,.643,.540,12,16,.750,0,3,3,2,0,2,2,2,39,25.6,15
11,376,11,2022-11-09,BOS,,DET,W 128-112,*,31:35,10,20,.500,5,11,.455,5,9,.556,.625,6,7,.857,0,1,1,5,1,1,1,4,31,23.5,16
12,377,12,2022-11-11,BOS,,DEN,W 131-112,*,37:19,11,21,.524,2,7,.286,9,14,.643,.571,10,11,.909,0,8,8,5,0,0,1,4,34,26.6,18
13,378,13,2022-11-12,BOS,@,DET,W 117-108,*,40:59,14,28,.500,7,14,.500,7,14,.500,.625,8,10,.800,2,8,10,3,1,1,3,2,43,32.0,7
14,379,14,2022-11-14,BOS,,OKC,W 126-122,*,38:00,9,23,.391,1,9,.111,8,14,.571,.413,8,10,.800,1,9,10,1,3,3,1,2,27,21.1,2
15,380,15,2022-11-16,BOS,@,ATL,W 126-101,*,32:54,6,19,.316,3,10,.300,3,9,.333,.395,4,4,1.000,1,6,7,8,1,1,2,1,19,15.5,28
16,381,16,2022-11-18,BOS,@,NOP,W 117-109,*,39:28,6,18,.333,2,10,.200,4,8,.500,.389,5,6,.833,0,7,7,10,0,0,3,1,19,14.1,11
17,382,17,2022-11-21,BOS,@,CHI,L 107-121,*,35:46,9,19,.474,4,10,.400,5,9,.556,.579,6,7,.857,2,9,11,7,0,0,4,1,28,22.5,-13
18,383,18,2022-11-23,BOS,,DAL,W 125-112,*,36:49,11,24,.458,2,7,.286,9,17,.529,.500,13,15,.867,3,10,13,5,0,2,2,1,37,31.4,14
19,384,19,2022-11-25,BOS,,SAC,W 122-104,*,31:09,10,17,.588,2,6,.333,8,11,.727,.647,8,9,.889,1,7,8,4,1,0,3,4,30,23.7,12
