Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1,2010-04-18,OKC,@,LAL,L 79-87,*,42:23,7,24,.292,1,8,.125,6,16,.375,.313,9,11,.818,2,4,6,2,1,0,4,2,24,9.4,-3
2,2,2,2010-04-20,OKC,@,LAL,L 92-95,*,40:30,12,26,.462,3,6,.500,9,20,.450,.519,5,6,.833,2,6,8,1,2,4,8,3,32,17.7,0
3,3,3,2010-04-22,OKC,,LAL,W 101-96,*,41:33,8,24,.333,1,6,.167,7,18,.389,.354,12,13,.923,2,17,19,4,0,1,2,3,29,21.8,5
4,4,4,2010-04-24,OKC,,LAL,W 110-89,*,31:28,6,12,.500,1,4,.250,5,8,.625,.542,9,11,.818,1,3,4,1,0,2,4,3,22,13.7,19
5,5,5,2010-04-27,OKC,@,LAL,L 87-111,*,32:54,5,14,.357,2,6,.333,3,8,.375,.429,5,6,.833,0,3,3,3,0,0,3,2,17,8.0,-25
6,6,6,2010-04-30,OKC,,LAL,L 94-95,*,42:21,5,23,.217,2,5,.400,3,18,.167,.261,14,15,.933,1,5,6,3,0,1,1,4,26,13.9,4
7,7,1,2011-04-17,OKC,,DEN,W 107-103,*,42:51,13,22,.591,3,6,.500,10,16,.625,.659,12,15,.800,0,9,9,2,1,0,1,3,41,32.5,2
8,8,2,2011-04-20,OKC,,DEN,W 106-89,*,39:30,7,15,.467,3,7,.429,4,8,.500,.567,6,7,.857,2,3,5,5,1,0,1,2,23,19.9,20
9,9,3,2011-04-23,OKC,@,DEN,W 97-94,*,42:55,7,22,.318,3,8,.375,4,14,.286,.386,9,12,.750,0,4,4,6,1,3,2,5,26,16.7,5
10,10,4,2011-04-25,OKC,@,DEN,L 101-104,*,41:32,8,18,.444,5,6,.833,3,12,.250,.583,10,11,.909,1,4,5,3,1,0,3,5,31,21.2,-1
11,11,5,2011-04-27,OKC,,DEN,W 100-97,*,42:12,14,27,.519,2,10,.200,12,17,.706,.556,11,12,.917,1,4,5,2,1,2,0,2,41,32.2,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,6,2011-05-01,OKC,,MEM,L 101-114,*,44:06,11,21,.524,3,5,.600,8,16,.500,.595,8,11,.727,3,8,11,3,1,2,3,2,33,26.7,-10
13,13,7,2011-05-03,OKC,,MEM,W 111-102,*,34:14,8,18,.444,2,2,1.000,6,16,.375,.500,8,10,.800,0,5,5,1,0,0,2,5,26,14.0,1
14,14,8,2011-05-07,OKC,@,MEM,L 93-101 (OT),*,48:02,10,24,.417,2,7,.286,8,17,.471,.458,0,1,.000,0,12,12,1,0,0,2,2,22,10.3,-9
15,15,9,2011-05-09,OKC,@,MEM,W 133-123 (3OT),*,56:49,9,20,.450,1,6,.167,8,14,.571,.475,16,18,.889,3,10,13,1,4,0,5,2,35,27.8,15
16,16,10,2011-05-11,OKC,,MEM,W 99-72,*,30:46,7,14,.500,1,4,.250,6,10,.600,.536,4,6,.667,0,7,7,0,0,2,1,1,19,13.3,19
17,17,11,2011-05-13,OKC,@,MEM,L 83-95,*,36:52,3,14,.214,1,9,.111,2,5,.400,.250,4,6,.667,0,7,7,2,0,0,1,5,11,2.1,-1
18,18,12,2011-05-15,OKC,,MEM,W 105-90,*,38:51,13,25,.520,4,9,.444,9,16,.563,.600,9,9,1.000,1,8,9,2,0,3,2,2,39,30.5,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,13,2011-05-17,OKC,@,DAL,L 112-121,*,41:53,10,18,.556,2,5,.400,8,13,.615,.611,18,19,.947,0,8,8,5,1,2,3,3,40,35.1,-1
20,20,14,2011-05-19,OKC,@,DAL,W 106-100,*,43:57,11,23,.478,0,5,.000,11,18,.611,.478,2,3,.667,0,3,3,4,1,1,3,4,24,12.7,-2
21,21,15,2011-05-21,OKC,,DAL,L 87-93,*,45:57,7,22,.318,0,8,.000,7,14,.500,.318,10,11,.909,3,9,12,5,2,2,1,3,24,20.5,1
22,22,16,2011-05-23,OKC,,DAL,L 105-112 (OT),*,48:58,9,22,.409,2,7,.286,7,15,.467,.455,9,10,.900,3,12,15,4,0,1,9,2,29,16.2,-6
23,23,17,2011-05-25,OKC,@,DAL,L 96-100,*,42:48,8,20,.400,3,5,.600,5,15,.333,.475,4,6,.667,1,8,9,2,2,1,3,4,23,14.0,-7
24,24,1,2012-04-28,OKC,,DAL,W 99-98,*,43:46,10,27,.370,1,6,.167,9,21,.429,.389,4,5,.800,0,6,6,4,0,4,2,4,25,13.5,1
25,25,2,2012-04-30,OKC,,DAL,W 102-99,*,42:45,5,17,.294,2,6,.333,3,11,.273,.353,14,16,.875,0,10,10,1,2,0,7,3,26,12.8,-7
26,26,3,2012-05-03,OKC,@,DAL,W 95-79,*,39:54,11,15,.733,4,6,.667,7,9,.778,.867,5,7,.714,0,3,3,6,2,1,1,3,31,29.7,22
27,27,4,2012-05-05,OKC,@,DAL,W 103-97,*,39:38,9,18,.500,2,8,.250,7,10,.700,.556,4,5,.800,1,10,11,4,0,2,5,1,24,17.1,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,5,2012-05-14,OKC,,LAL,W 119-90,*,28:41,8,16,.500,2,5,.400,6,11,.545,.563,7,8,.875,1,7,8,4,0,1,0,1,25,22.5,27
29,29,6,2012-05-16,OKC,,LAL,W 77-75,*,42:11,9,15,.600,1,4,.250,8,11,.727,.633,3,4,.750,0,7,7,5,2,0,4,0,22,18.3,-3
30,30,7,2012-05-18,OKC,@,LAL,L 96-99,*,41:17,12,23,.522,1,4,.250,11,19,.579,.543,6,6,1.000,1,4,5,1,2,1,5,1,31,19.6,-5
31,31,8,2012-05-19,OKC,@,LAL,W 103-100,*,45:35,10,18,.556,3,4,.750,7,14,.500,.639,8,10,.800,1,12,13,2,2,1,3,3,31,25.8,8
32,32,9,2012-05-21,OKC,,LAL,W 106-90,*,42:40,9,21,.429,2,6,.333,7,15,.467,.476,5,6,.833,0,10,10,4,2,0,2,0,25,19.3,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,33,10,2012-05-27,OKC,@,SAS,L 98-101,*,42:49,8,19,.421,0,4,.000,8,15,.533,.421,11,12,.917,0,10,10,4,2,3,2,5,27,22.4,-6
34,34,11,2012-05-29,OKC,@,SAS,L 111-120,*,41:44,10,17,.588,3,4,.750,7,13,.538,.676,8,8,1.000,1,4,5,5,3,2,3,4,31,28.3,-6
35,35,12,2012-05-31,OKC,,SAS,W 102-82,*,38:08,8,17,.471,0,4,.000,8,13,.615,.471,6,6,1.000,1,5,6,5,1,0,3,3,22,15.8,18
36,36,13,2012-06-02,OKC,,SAS,W 109-103,*,43:30,13,20,.650,1,2,.500,12,18,.667,.675,9,9,1.000,0,6,6,8,0,1,1,0,36,34.3,1
37,37,14,2012-06-04,OKC,@,SAS,W 108-103,*,43:17,10,19,.526,2,6,.333,8,13,.615,.579,5,6,.833,1,3,4,5,3,1,4,1,27,21.7,3
38,38,15,2012-06-06,OKC,,SAS,W 107-99,*,48:00,9,17,.529,4,8,.500,5,9,.556,.647,12,15,.800,0,14,14,5,1,2,2,2,34,31.8,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,39,16,2012-06-12,OKC,,MIA,W 105-94,*,45:48,12,20,.600,4,8,.500,8,12,.667,.700,8,9,.889,1,7,8,4,0,1,2,2,36,29.9,15
40,40,17,2012-06-14,OKC,,MIA,L 96-100,*,38:37,12,22,.545,4,10,.400,8,12,.667,.636,4,6,.667,0,3,3,1,2,1,2,5,32,20.9,-9
41,41,18,2012-06-17,OKC,@,MIA,L 85-91,*,39:11,11,19,.579,1,4,.250,10,15,.667,.605,2,4,.500,2,4,6,0,1,2,5,5,25,13.3,-3
42,42,19,2012-06-19,OKC,@,MIA,L 98-104,*,46:10,9,19,.474,1,5,.200,8,14,.571,.500,9,9,1.000,1,1,2,3,2,0,3,3,28,19.2,0
43,43,20,2012-06-21,OKC,@,MIA,L 106-121,*,43:16,13,24,.542,3,6,.500,10,18,.556,.604,3,3,1.000,2,9,11,3,2,1,7,5,32,20.3,-23
44,44,1,2013-04-21,OKC,,HOU,W 120-91,*,33:30,7,15,.467,1,5,.200,6,10,.600,.500,9,9,1.000,0,6,6,4,2,2,2,3,24,21.1,34
45,45,2,2013-04-24,OKC,,HOU,W 105-102,*,45:30,10,25,.400,2,9,.222,8,16,.500,.440,7,8,.875,1,3,4,9,0,1,1,1,29,22.3,-1
46,46,3,2013-04-27,OKC,@,HOU,W 104-101,*,47:16,13,30,.433,4,9,.444,9,21,.429,.500,11,13,.846,1,13,14,4,2,1,4,3,41,29.3,3
47,47,4,2013-04-29,OKC,@,HOU,L 103-105,*,42:00,12,16,.750,1,2,.500,11,14,.786,.781,13,15,.867,1,7,8,6,1,0,7,5,38,29.8,-3
48,48,5,2013-05-01,OKC,,HOU,L 100-107,*,44:42,11,23,.478,1,8,.125,10,15,.667,.500,13,16,.813,1,6,7,7,1,1,3,3,36,28.0,-8
49,49,6,2013-05-03,OKC,@,HOU,W 103-94,*,43:13,11,23,.478,3,9,.333,8,14,.571,.543,2,2,1.000,1,7,8,6,2,1,4,2,27,20.2,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,50,7,2013-05-05,OKC,,MEM,W 93-91,*,43:42,13,26,.500,0,2,.000,13,24,.542,.500,9,10,.900,0,15,15,6,1,2,3,1,35,29.3,2
51,51,8,2013-05-07,OKC,,MEM,L 93-99,*,42:34,11,21,.524,3,9,.333,8,12,.667,.595,11,12,.917,0,11,11,9,1,1,5,2,36,30.8,0
52,52,9,2013-05-11,OKC,@,MEM,L 81-87,*,45:44,9,19,.474,2,6,.333,7,13,.538,.526,5,9,.556,0,11,11,5,3,0,3,2,25,19.7,-2
53,53,10,2013-05-13,OKC,@,MEM,L 97-103 (OT),*,48:19,10,27,.370,5,7,.714,5,20,.250,.463,2,3,.667,0,7,7,7,1,1,4,2,27,15.6,-7
54,54,11,2013-05-15,OKC,,MEM,L 84-88,*,48:00,5,21,.238,0,4,.000,5,17,.294,.238,11,15,.733,2,6,8,6,0,2,7,2,21,7.7,-4
