Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,850,1,2020-12-22,BRK,,GSW,W 125-99,*,24:56,7,16,.438,1,2,.500,6,14,.429,.469,7,7,1.000,1,4,5,3,3,1,1,3,22,19.1,26
2,851,2,2020-12-25,BRK,@,BOS,W 123-95,*,33:24,9,16,.563,3,4,.750,6,12,.500,.656,8,9,.889,0,4,4,3,2,0,2,3,29,23.1,31
3,852,3,2020-12-27,BRK,@,CHO,L 104-106,*,36:21,9,15,.600,5,7,.714,4,8,.500,.767,6,9,.667,0,3,3,4,0,1,3,3,29,21.1,7
3,,4,2020-12-28,BRK,,MEM,L 111-116 (OT),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,853,5,2020-12-30,BRK,,ATL,W 145-141,*,34:59,11,22,.500,2,6,.333,9,16,.563,.545,9,9,1.000,1,10,11,9,1,1,4,1,33,29.3,1
5,854,6,2021-01-01,BRK,,ATL,L 96-114,*,37:28,10,21,.476,2,7,.286,8,14,.571,.524,6,6,1.000,1,7,8,4,1,2,5,0,28,20.3,-1
6,855,7,2021-01-03,BRK,,WAS,L 122-123,*,37:37,8,15,.533,2,7,.286,6,8,.750,.600,10,12,.833,0,11,11,7,0,0,6,1,28,21.7,11
6,,8,2021-01-05,BRK,,UTA,W 130-96,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,,9,2021-01-07,BRK,,PHI,W 122-109,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,,10,2021-01-08,BRK,@,MEM,L 110-115,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,856,11,2021-01-10,BRK,,OKC,L 116-129,*,37:40,11,21,.524,2,7,.286,9,14,.643,.571,12,15,.800,1,10,11,4,0,1,4,2,36,26.9,0
8,857,12,2021-01-12,BRK,,DEN,W 122-116,*,35:53,12,18,.667,4,7,.571,8,11,.727,.778,6,7,.857,0,9,9,13,0,0,7,4,34,29.0,15
9,858,13,2021-01-13,BRK,@,NYK,W 116-109,*,30:21,10,18,.556,3,5,.600,7,13,.538,.639,3,4,.750,0,3,3,6,0,2,1,1,26,22.1,12
10,859,14,2021-01-16,BRK,,ORL,W 122-115,*,40:02,16,26,.615,5,8,.625,11,18,.611,.712,5,5,1.000,0,4,4,5,2,2,6,0,42,32.3,10
11,860,15,2021-01-18,BRK,,MIL,W 125-123,*,35:42,10,21,.476,2,4,.500,8,17,.471,.524,8,9,.889,0,9,9,6,0,2,3,5,30,22.2,0
12,861,16,2021-01-20,BRK,@,CLE,L 135-147 (2OT),*,50:09,12,25,.480,3,9,.333,9,16,.563,.540,11,13,.846,1,11,12,8,1,4,2,2,38,35.1,2
