Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1,2020-08-17,DAL,@,LAC,L 110-118,*,38:21,13,21,.619,2,6,.333,11,15,.733,.667,14,15,.933,0,7,7,9,3,0,11,4,42,30.9,-14
2,2,2,2020-08-19,DAL,@,LAC,W 127-114,*,28:05,8,17,.471,4,7,.571,4,10,.400,.588,8,12,.667,0,8,8,7,0,0,1,5,28,22.0,11
3,3,3,2020-08-21,DAL,,LAC,L 122-130,*,29:27,4,14,.286,1,6,.167,3,8,.375,.321,4,10,.400,2,8,10,10,1,1,2,2,13,12.1,-14
4,4,4,2020-08-23,DAL,,LAC,W 135-133 (OT),*,45:45,18,31,.581,4,10,.400,14,21,.667,.645,3,5,.600,1,16,17,13,2,1,7,1,43,37.6,11
5,5,5,2020-08-25,DAL,@,LAC,L 111-154,*,31:13,6,17,.353,1,6,.167,5,11,.455,.382,9,14,.643,1,7,8,4,0,1,5,1,22,11.4,-23
6,6,6,2020-08-30,DAL,,LAC,L 97-111,*,41:43,15,28,.536,4,9,.444,11,19,.579,.607,4,8,.500,0,9,9,9,1,0,5,4,38,26.2,-9
7,7,1,2021-05-22,DAL,@,LAC,W 113-103,*,40:46,11,24,.458,5,11,.455,6,13,.462,.563,4,7,.571,1,9,10,11,1,2,3,3,31,26.7,19
8,8,2,2021-05-25,DAL,@,LAC,W 127-121,*,38:04,16,29,.552,5,13,.385,11,16,.688,.638,2,7,.286,0,7,7,7,1,1,7,3,39,23.6,3
9,9,3,2021-05-28,DAL,,LAC,L 108-118,*,38:36,15,28,.536,7,13,.538,8,15,.533,.661,7,13,.538,2,7,9,9,1,0,5,2,44,33.0,3
10,10,4,2021-05-30,DAL,,LAC,L 81-106,*,35:38,9,24,.375,1,7,.143,8,17,.471,.396,0,5,.000,0,6,6,6,1,0,4,1,19,6.4,-16
11,11,5,2021-06-02,DAL,@,LAC,W 105-100,*,42:31,17,37,.459,6,12,.500,11,25,.440,.541,2,3,.667,1,7,8,14,1,0,4,2,42,31.3,15
12,12,6,2021-06-04,DAL,,LAC,L 97-104,*,40:36,11,24,.458,2,9,.222,9,15,.600,.500,5,5,1.000,0,8,8,11,4,0,3,3,29,26.5,-8
13,13,7,2021-06-06,DAL,@,LAC,L 111-126,*,44:52,17,30,.567,5,11,.455,12,19,.632,.650,7,11,.636,0,7,7,14,0,0,6,3,46,34.9,-9
14,14,4,2022-04-23,DAL,@,UTA,L 99-100,*,33:44,11,21,.524,4,10,.400,7,11,.636,.619,4,4,1.000,0,10,10,4,2,0,4,3,30,22.3,7
15,15,5,2022-04-25,DAL,,UTA,W 102-77,*,32:46,11,22,.500,3,10,.300,8,12,.667,.568,8,12,.667,0,13,13,5,0,1,5,4,33,21.9,32
16,16,6,2022-04-28,DAL,@,UTA,W 98-96,*,42:06,8,21,.381,4,10,.400,4,11,.364,.476,4,4,1.000,0,9,9,8,2,2,3,3,24,20.0,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,7,2022-05-02,DAL,@,PHO,L 114-121,*,44:23,15,30,.500,4,11,.364,11,19,.579,.567,11,14,.786,2,10,12,8,0,1,5,1,45,34.1,-4
18,18,8,2022-05-04,DAL,@,PHO,L 109-129,*,36:23,13,22,.591,5,10,.500,8,12,.667,.705,4,5,.800,1,4,5,7,1,0,7,2,35,24.4,-28
19,19,9,2022-05-06,DAL,,PHO,W 103-94,*,34:09,11,25,.440,2,7,.286,9,18,.500,.480,2,5,.400,3,10,13,9,2,0,5,5,26,18.1,20
20,20,10,2022-05-08,DAL,,PHO,W 111-101,*,36:53,9,25,.360,1,10,.100,8,15,.533,.380,7,8,.875,0,7,7,11,3,0,4,4,26,18.9,14
21,21,11,2022-05-10,DAL,@,PHO,L 80-110,*,35:06,10,23,.435,2,8,.250,8,15,.533,.478,6,7,.857,1,10,11,2,3,0,4,3,28,18.4,-17
22,22,12,2022-05-12,DAL,,PHO,W 113-86,*,35:17,11,26,.423,2,8,.250,9,18,.500,.462,9,14,.643,1,10,11,8,4,0,1,4,33,27.9,15
23,23,13,2022-05-15,DAL,@,PHO,W 123-90,*,30:24,12,19,.632,6,11,.545,6,8,.750,.789,5,5,1.000,1,9,10,4,2,0,2,3,35,31.5,37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,14,2022-05-18,DAL,@,GSW,L 87-112,*,34:53,6,18,.333,3,10,.300,3,8,.375,.417,5,8,.625,0,7,7,4,1,0,7,1,20,7.1,-30
25,25,15,2022-05-20,DAL,@,GSW,L 117-126,*,38:11,12,23,.522,5,10,.500,7,13,.538,.630,13,15,.867,0,5,5,8,3,1,2,3,42,37.5,-12
26,26,16,2022-05-22,DAL,,GSW,L 100-109,*,40:23,11,23,.478,4,9,.444,7,14,.500,.565,14,17,.824,0,11,11,3,1,2,3,3,40,30.7,-19
27,27,17,2022-05-24,DAL,,GSW,W 119-109,*,37:42,10,26,.385,3,11,.273,7,15,.467,.442,7,10,.700,0,14,14,9,2,2,3,2,30,24.7,13
28,28,18,2022-05-26,DAL,@,GSW,L 110-120,*,39:38,10,28,.357,3,13,.231,7,15,.467,.411,5,7,.714,1,8,9,6,1,0,4,3,28,14.7,-12
29,29,1,2024-04-21,DAL,@,LAC,L 97-109,*,42:24,11,26,.423,4,12,.333,7,14,.500,.500,7,8,.875,1,12,13,6,1,0,4,1,33,23.9,3
30,30,2,2024-04-23,DAL,@,LAC,W 96-93,*,45:44,11,26,.423,5,14,.357,6,12,.500,.519,5,6,.833,0,6,6,9,1,1,3,3,32,23.4,8
31,31,3,2024-04-26,DAL,,LAC,W 101-90,*,40:21,7,25,.280,3,14,.214,4,11,.364,.340,5,7,.714,1,9,10,9,2,0,5,2,22,12.4,11
32,32,4,2024-04-28,DAL,,LAC,L 111-116,*,44:42,10,24,.417,1,9,.111,9,15,.600,.438,8,10,.800,4,6,10,10,0,1,3,5,29,22.7,10
33,33,5,2024-05-01,DAL,@,LAC,W 123-93,*,39:03,14,26,.538,2,8,.250,12,18,.667,.577,5,5,1.000,1,6,7,10,1,0,2,4,35,29.3,28
34,34,6,2024-05-03,DAL,,LAC,W 114-101,*,43:07,9,26,.346,1,10,.100,8,16,.500,.365,9,11,.818,1,6,7,13,1,1,5,5,28,18.9,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35,7,2024-05-07,DAL,@,OKC,L 95-117,*,40:49,6,19,.316,1,8,.125,5,11,.455,.342,6,10,.600,0,6,6,9,2,0,5,0,19,11.6,-21
36,36,8,2024-05-09,DAL,@,OKC,W 119-110,*,41:11,11,21,.524,5,8,.625,6,13,.462,.643,2,2,1.000,0,10,10,7,3,1,1,0,29,29.3,6
37,37,9,2024-05-11,DAL,,OKC,W 105-101,*,39:34,7,17,.412,1,4,.250,6,13,.462,.441,7,10,.700,3,12,15,5,2,0,4,1,22,18.5,3
38,38,10,2024-05-13,DAL,,OKC,L 96-100,*,41:37,6,20,.300,2,9,.222,4,11,.364,.350,4,6,.667,1,11,12,10,2,1,7,4,18,10.7,1
39,39,11,2024-05-15,DAL,@,OKC,W 104-92,*,41:24,12,22,.545,5,11,.455,7,11,.636,.659,2,3,.667,0,10,10,11,0,1,3,3,31,27.2,13
40,40,12,2024-05-18,DAL,,OKC,W 117-116,*,44:44,9,15,.600,4,6,.667,5,9,.556,.733,7,7,1.000,0,10,10,10,2,0,7,4,29,25.5,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,41,13,2024-05-22,DAL,@,MIN,W 108-105,*,40:45,12,26,.462,3,10,.300,9,16,.563,.519,6,7,.857,0,6,6,8,3,1,4,2,33,25.5,-9
42,42,14,2024-05-24,DAL,@,MIN,W 109-108,*,41:27,10,23,.435,5,11,.455,5,12,.417,.543,7,7,1.000,1,9,10,13,0,0,4,0,32,28.4,6
43,43,15,2024-05-26,DAL,,MIN,W 116-107,*,41:12,10,20,.500,5,11,.455,5,9,.556,.625,8,10,.800,1,6,7,5,5,1,3,2,33,30.1,6
44,44,16,2024-05-28,DAL,,MIN,L 100-105,*,40:45,7,21,.333,4,11,.364,3,10,.300,.429,10,12,.833,2,13,15,10,1,0,3,4,28,24.0,-13
45,45,17,2024-05-30,DAL,@,MIN,W 124-103,*,36:35,14,22,.636,6,10,.600,8,12,.667,.773,2,3,.667,0,10,10,5,2,0,4,2,36,29.5,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,46,18,2024-06-06,DAL,@,BOS,L 89-107,*,38:14,12,26,.462,4,12,.333,8,14,.571,.538,2,5,.400,0,10,10,1,2,0,4,1,30,16.7,-10
47,47,19,2024-06-09,DAL,@,BOS,L 98-105,*,42:18,12,21,.571,4,9,.444,8,12,.667,.667,4,8,.500,0,11,11,11,4,0,8,1,32,27.1,-3
48,48,20,2024-06-12,DAL,,BOS,L 99-106,*,37:44,11,27,.407,1,7,.143,10,20,.500,.426,4,4,1.000,0,6,6,6,1,0,3,6,27,14.1,9
49,49,21,2024-06-14,DAL,,BOS,W 122-84,*,32:33,12,26,.462,0,8,.000,12,18,.667,.462,5,7,.714,0,5,5,5,3,0,1,3,29,20.6,30
50,50,22,2024-06-17,DAL,@,BOS,L 88-106,*,43:23,12,25,.480,2,9,.222,10,16,.625,.520,2,5,.400,0,12,12,5,3,0,7,3,28,16.0,-19
51,51,1,2025-04-19,LAL,,MIN,L 95-117,*,40:23,12,22,.545,5,10,.500,7,12,.583,.659,8,9,.889,1,7,8,1,2,0,5,3,37,25.3,-12
52,52,2,2025-04-22,LAL,,MIN,W 94-85,*,42:09,9,20,.450,2,8,.250,7,12,.583,.500,11,11,1.000,1,11,12,9,0,1,4,3,31,26.4,12
53,53,3,2025-04-25,LAL,@,MIN,L 104-116,*,39:59,6,16,.375,2,8,.250,4,8,.500,.438,3,4,.750,0,7,7,8,1,1,5,3,17,11.0,-16
54,54,4,2025-04-27,LAL,@,MIN,L 113-116,*,45:49,13,28,.464,5,12,.417,8,16,.500,.554,7,7,1.000,0,1,1,2,1,1,4,3,38,21.8,-3
55,55,5,2025-04-30,LAL,,MIN,L 96-103,*,39:33,7,18,.389,2,8,.250,5,10,.500,.444,12,15,.800,0,7,7,9,1,0,2,4,28,22.8,-5
,,,,,,,26-29,55,2156,592,1284,.461,182,525,.347,410,759,.540,.532,331,449,.737,36,468,504,427,89,26,232,150,1697,23.0,73
