Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1,2019-04-13,DEN,,SAS,L 96-101,*,36:21,4,9,.444,0,3,.000,4,6,.667,.444,2,2,1.000,3,11,14,14,2,0,3,3,10,18.3,0
2,2,2,2019-04-16,DEN,,SAS,W 114-105,*,39:26,7,15,.467,2,3,.667,5,12,.417,.533,5,6,.833,3,10,13,8,2,0,3,4,21,21.0,17
3,3,3,2019-04-18,DEN,@,SAS,L 108-118,*,32:09,8,14,.571,3,6,.500,5,8,.625,.679,3,4,.750,2,6,8,7,0,0,1,3,22,20.9,-25
4,4,4,2019-04-20,DEN,@,SAS,W 117-103,*,38:59,10,22,.455,1,4,.250,9,18,.500,.477,8,8,1.000,5,7,12,8,0,0,0,3,29,27.6,17
5,5,5,2019-04-23,DEN,,SAS,W 108-90,*,32:55,5,11,.455,2,4,.500,3,7,.429,.545,4,4,1.000,2,9,11,8,2,1,3,3,16,18.5,27
6,6,6,2019-04-25,DEN,@,SAS,L 103-120,*,38:09,19,30,.633,2,6,.333,17,24,.708,.667,3,4,.750,6,6,12,9,2,1,2,2,43,41.4,-11
7,7,7,2019-04-27,DEN,,SAS,W 90-86,*,43:27,9,26,.346,0,4,.000,9,22,.409,.346,3,4,.750,5,10,15,10,1,3,0,5,21,20.6,-1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,2019-04-29,DEN,,POR,W 121-113,*,41:29,11,18,.611,3,5,.600,8,13,.615,.694,12,12,1.000,2,7,9,6,3,2,2,3,37,37.7,16
9,9,9,2019-05-01,DEN,,POR,L 90-97,*,37:11,7,17,.412,0,1,.000,7,16,.438,.412,2,4,.500,4,10,14,7,1,0,2,5,16,13.8,2
10,10,10,2019-05-03,DEN,@,POR,L 137-140 (4OT),*,64:58,13,25,.520,4,7,.571,9,18,.500,.600,3,5,.600,4,14,18,14,1,2,8,4,33,29.5,5
11,11,11,2019-05-05,DEN,@,POR,W 116-112,*,38:30,8,15,.533,1,1,1.000,7,14,.500,.567,4,4,1.000,6,6,12,11,2,0,3,4,21,24.8,17
12,12,12,2019-05-07,DEN,,POR,W 124-98,*,34:13,10,18,.556,0,3,.000,10,15,.667,.556,5,6,.833,6,13,19,6,0,0,3,6,25,22.9,26
13,13,13,2019-05-09,DEN,@,POR,L 108-119,*,36:51,10,15,.667,2,3,.667,8,12,.667,.733,7,8,.875,2,10,12,8,0,0,4,6,29,25.7,-5
14,14,14,2019-05-12,DEN,,POR,L 96-100,*,41:54,11,26,.423,2,6,.333,9,20,.450,.462,5,7,.714,4,9,13,2,0,4,2,3,29,20.9,-2
15,15,1,2020-08-17,DEN,,UTA,W 135-125 (OT),*,42:10,11,21,.524,4,7,.571,7,14,.500,.619,3,3,1.000,1,9,10,3,2,1,4,2,29,22.1,7
16,16,2,2020-08-19,DEN,,UTA,L 105-124,*,31:40,10,21,.476,1,2,.500,9,19,.474,.500,7,10,.700,5,6,11,6,0,0,2,3,28,22.4,-23
17,17,3,2020-08-21,DEN,@,UTA,L 87-124,*,31:42,6,13,.462,2,6,.333,4,7,.571,.538,1,2,.500,0,5,5,6,0,1,2,1,15,11.9,-21
18,18,4,2020-08-23,DEN,@,UTA,L 127-129,*,39:20,12,24,.500,3,10,.300,9,14,.643,.563,2,2,1.000,3,4,7,6,0,0,2,3,29,21.3,-1
19,19,5,2020-08-25,DEN,,UTA,W 117-107,*,42:51,12,19,.632,7,11,.636,5,8,.625,.816,0,0,,0,6,6,4,0,1,2,4,31,24.2,15
20,20,6,2020-08-30,DEN,@,UTA,W 119-107,*,36:26,7,15,.467,3,5,.600,4,10,.400,.567,5,5,1.000,2,2,4,9,3,0,2,4,22,22.0,1
21,21,7,2020-09-01,DEN,,UTA,W 80-78,*,38:55,12,23,.522,2,5,.400,10,18,.556,.565,4,4,1.000,3,11,14,4,0,0,2,5,30,22.9,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,8,2020-09-03,DEN,@,LAC,L 97-120,*,29:57,6,14,.429,0,2,.000,6,12,.500,.429,3,4,.750,1,2,3,3,0,0,1,2,15,8.8,-24
23,23,9,2020-09-05,DEN,@,LAC,W 110-101,*,37:15,10,17,.588,4,5,.800,6,12,.500,.706,2,2,1.000,1,17,18,4,0,3,6,4,26,21.2,18
24,24,10,2020-09-07,DEN,,LAC,L 107-113,*,38:38,13,24,.542,3,8,.375,10,16,.625,.604,3,4,.750,1,11,12,8,1,0,7,4,32,22.0,-8
25,25,11,2020-09-09,DEN,,LAC,L 85-96,*,38:53,11,23,.478,2,7,.286,9,16,.563,.522,2,2,1.000,1,10,11,6,0,1,3,4,26,18.3,-7
26,26,12,2020-09-11,DEN,@,LAC,W 111-105,*,40:07,9,17,.529,2,6,.333,7,11,.636,.588,2,4,.500,1,13,14,5,1,2,6,3,22,16.2,13
27,27,13,2020-09-13,DEN,,LAC,W 111-98,*,39:38,13,22,.591,4,6,.667,9,16,.563,.682,4,5,.800,2,12,14,7,1,1,5,2,34,29.2,9
28,28,14,2020-09-15,DEN,@,LAC,W 104-89,*,39:42,5,13,.385,0,4,.000,5,9,.556,.385,6,6,1.000,3,19,22,13,2,3,5,4,16,23.3,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,15,2020-09-18,DEN,@,LAL,L 114-126,*,25:25,8,14,.571,0,0,,8,14,.571,.571,5,7,.714,4,2,6,2,0,1,4,5,21,13.1,-19
30,30,16,2020-09-20,DEN,@,LAL,L 103-105,*,38:39,9,20,.450,1,4,.250,8,16,.500,.475,11,12,.917,1,5,6,9,4,0,2,4,30,28.1,-6
31,31,17,2020-09-22,DEN,,LAL,W 114-106,*,37:24,9,14,.643,1,3,.333,8,11,.727,.679,3,4,.750,3,7,10,5,1,1,5,4,22,18.2,7
32,32,18,2020-09-24,DEN,,LAL,L 108-114,*,35:42,6,13,.462,2,3,.667,4,10,.400,.538,2,2,1.000,3,4,7,4,2,0,1,5,16,14.4,2
33,33,19,2020-09-26,DEN,@,LAL,L 107-117,*,29:57,9,16,.563,1,4,.250,8,12,.667,.594,1,1,1.000,2,5,7,5,3,0,1,5,20,18.8,-1
34,34,1,2021-05-22,DEN,,POR,L 109-123,*,35:22,14,27,.519,3,7,.429,11,20,.550,.574,3,4,.750,3,13,16,1,0,0,1,1,34,25.6,-13
35,35,2,2021-05-24,DEN,,POR,W 128-109,*,31:18,15,20,.750,2,4,.500,13,16,.813,.800,6,6,1.000,3,5,8,5,1,0,4,5,38,32.1,12
36,36,3,2021-05-27,DEN,@,POR,W 120-115,*,35:29,12,24,.500,4,7,.571,8,17,.471,.583,8,8,1.000,6,5,11,5,0,0,2,3,36,30.0,10
37,37,4,2021-05-29,DEN,@,POR,L 95-115,*,26:41,7,18,.389,1,4,.250,6,14,.429,.417,1,2,.500,3,6,9,1,0,0,2,3,16,7.2,-32
38,38,5,2021-06-01,DEN,,POR,W 147-140 (2OT),*,46:19,14,31,.452,3,9,.333,11,22,.500,.500,7,8,.875,3,8,11,9,1,4,2,1,38,33.7,-2
