Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,454,1,2021-10-20,DEN,@,PHO,W 110-98,*,34:43,13,22,.591,1,6,.167,12,16,.750,.614,0,0,,2,11,13,2,2,0,3,3,27,20.7,28
2,455,2,2021-10-22,DEN,,SAS,W 102-96,*,33:37,14,19,.737,2,2,1.000,12,17,.706,.789,2,3,.667,5,11,16,7,3,1,6,4,32,31.7,14
3,456,3,2021-10-25,DEN,,CLE,L 87-99,*,34:57,9,15,.600,1,4,.250,8,11,.727,.633,5,6,.833,3,16,19,3,3,0,6,3,24,21.5,-12
4,457,4,2021-10-26,DEN,@,UTA,L 110-122,*,15:00,8,9,.889,3,3,1.000,5,6,.833,1.056,5,7,.714,1,5,6,6,0,0,1,1,24,25.1,7
5,458,5,2021-10-29,DEN,,DAL,W 106-75,*,25:15,5,9,.556,1,3,.333,4,6,.667,.611,0,0,,2,14,16,8,1,0,1,4,11,16.3,26
6,459,6,2021-10-30,DEN,@,MIN,W 93-91,*,36:40,10,23,.435,3,8,.375,7,15,.467,.500,3,4,.750,5,14,19,7,1,2,7,2,26,20.7,17
7,460,7,2021-11-01,DEN,@,MEM,L 97-106,*,33:03,9,15,.600,2,6,.333,7,9,.778,.667,3,4,.750,1,6,7,7,0,4,3,2,23,22.1,0
8,461,8,2021-11-03,DEN,@,MEM,L 106-108,*,35:01,11,20,.550,2,5,.400,9,15,.600,.600,10,10,1.000,2,9,11,5,2,0,2,3,34,30.8,-3
9,462,9,2021-11-06,DEN,,HOU,W 95-94,*,36:23,9,15,.600,1,3,.333,8,12,.667,.633,9,11,.818,2,12,14,2,2,1,5,5,28,22.4,7
10,463,10,2021-11-08,DEN,,MIA,W 113-96,*,33:24,10,14,.714,0,0,,10,14,.714,.714,5,8,.625,4,11,15,10,2,2,2,3,25,31.3,14
10,,11,2021-11-10,DEN,,IND,W 101-98,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,464,12,2021-11-12,DEN,,ATL,W 105-96,*,35:29,10,22,.455,1,8,.125,9,14,.643,.477,1,4,.250,5,14,19,10,1,0,2,5,22,21.1,19
12,465,13,2021-11-14,DEN,,POR,W 124-95,*,27:57,11,17,.647,3,3,1.000,8,14,.571,.735,3,3,1.000,2,7,9,9,0,0,3,2,28,26.5,9
13,466,14,2021-11-15,DEN,@,DAL,L 101-111,*,36:52,15,26,.577,2,6,.333,13,20,.650,.615,3,6,.500,3,13,16,6,0,2,3,1,35,29.8,-1
14,467,15,2021-11-18,DEN,,PHI,L 89-103,*,35:24,10,17,.588,3,4,.750,7,13,.538,.676,7,9,.778,1,9,10,7,0,1,1,3,30,28.1,-5
14,,16,2021-11-19,DEN,,CHI,L 108-114,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,,17,2021-11-21,DEN,@,PHO,L 97-126,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
14,,18,2021-11-23,DEN,@,POR,L 100-119,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,,19,2021-11-26,DEN,,MIL,L 109-120,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,468,20,2021-11-29,DEN,@,MIA,W 120-111,*,32:35,9,14,.643,1,2,.500,8,12,.667,.679,5,6,.833,3,12,15,7,1,0,1,2,24,27.2,17
16,469,21,2021-12-01,DEN,@,ORL,L 103-108,*,36:11,7,19,.368,0,5,.000,7,14,.500,.368,4,5,.800,1,14,15,7,1,0,5,1,18,12.5,2
17,470,22,2021-12-04,DEN,@,NYK,W 113-99,*,26:56,14,19,.737,3,7,.429,11,12,.917,.816,1,1,1.000,3,8,11,5,0,0,4,0,32,28.3,12
18,471,23,2021-12-06,DEN,@,CHI,L 97-109,*,36:07,6,17,.353,1,5,.200,5,12,.417,.382,4,6,.667,1,11,12,15,2,0,3,2,17,19.4,7
19,472,24,2021-12-08,DEN,@,NOP,W 120-114 (OT),*,36:42,17,23,.739,0,3,.000,17,20,.850,.739,5,9,.556,1,10,11,11,1,0,6,2,39,33.7,4
20,473,25,2021-12-09,DEN,@,SAS,L 111-123,*,34:59,8,19,.421,2,8,.250,6,11,.545,.474,4,4,1.000,2,11,13,10,2,1,2,3,22,23.1,-5
21,474,26,2021-12-11,DEN,@,SAS,W 127-112,*,34:12,15,24,.625,4,6,.667,11,18,.611,.708,1,1,1.000,2,15,17,8,1,2,5,3,35,31.9,32
22,475,27,2021-12-13,DEN,,WAS,W 113-107,*,30:36,9,14,.643,1,2,.500,8,12,.667,.679,9,11,.818,2,17,19,9,3,1,4,0,28,33.5,21
23,476,28,2021-12-15,DEN,,MIN,L 107-124,*,34:57,11,16,.688,2,4,.500,9,12,.750,.750,3,5,.600,2,8,10,11,1,0,4,4,27,26.3,-17
24,477,29,2021-12-17,DEN,@,ATL,W 133-115,*,26:06,8,12,.667,1,2,.500,7,10,.700,.708,3,3,1.000,2,8,10,7,3,0,3,5,20,21.5,13
25,478,30,2021-12-22,DEN,@,OKC,L 94-108,*,24:52,5,9,.556,1,4,.250,4,5,.800,.611,2,2,1.000,0,7,7,3,0,2,3,0,13,11.3,-15
26,479,31,2021-12-23,DEN,,CHO,L 107-115,*,35:07,13,34,.382,1,6,.167,12,28,.429,.397,2,3,.667,6,15,21,5,2,0,6,0,29,18.2,2
