Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1,2013-04-20,GSW,@,DEN,L 95-97,*,42:56,7,20,.350,4,10,.400,3,10,.300,.450,1,1,1.000,0,4,4,9,2,0,5,2,19,11.5,8
2,2,2,2013-04-23,GSW,@,DEN,W 131-117,*,41:38,13,23,.565,4,10,.400,9,13,.692,.652,0,0,,0,5,5,13,3,0,1,4,30,30.1,15
3,3,3,2013-04-26,GSW,,DEN,W 110-108,*,37:50,8,17,.471,4,7,.571,4,10,.400,.588,9,9,1.000,0,6,6,11,2,0,3,4,29,27.2,13
4,4,4,2013-04-28,GSW,,DEN,W 115-101,*,33:06,10,16,.625,6,11,.545,4,5,.800,.813,5,5,1.000,0,3,3,7,4,0,2,4,31,30.0,21
5,5,5,2013-04-30,GSW,@,DEN,L 100-107,*,41:52,7,19,.368,1,6,.167,6,13,.462,.395,0,0,,1,3,4,8,0,1,2,5,15,8.4,-3
6,6,6,2013-05-02,GSW,,DEN,W 92-88,*,41:56,6,14,.429,4,8,.500,2,6,.333,.571,6,6,1.000,1,3,4,8,2,0,7,3,22,15.6,-2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,2013-05-06,GSW,@,SAS,L 127-129 (2OT),*,57:56,18,35,.514,6,14,.429,12,21,.571,.600,2,2,1.000,0,4,4,11,2,0,6,3,44,30.4,-2
8,8,8,2013-05-08,GSW,@,SAS,W 100-91,*,43:01,7,20,.350,2,6,.333,5,14,.357,.400,6,9,.667,0,4,4,4,1,0,2,2,22,11.8,16
9,9,9,2013-05-10,GSW,,SAS,L 92-102,*,42:28,5,17,.294,3,9,.333,2,8,.250,.382,3,3,1.000,0,2,2,8,2,0,3,3,16,10.1,1
10,10,10,2013-05-12,GSW,,SAS,W 97-87 (OT),*,38:36,7,15,.467,5,10,.500,2,5,.400,.633,3,3,1.000,2,4,6,4,0,0,2,2,22,16.9,23
11,11,11,2013-05-14,GSW,@,SAS,L 91-109,*,34:45,4,14,.286,1,7,.143,3,7,.429,.321,0,0,,0,0,0,8,1,0,4,1,9,3.0,-21
12,12,12,2013-05-16,GSW,,SAS,L 82-94,*,40:26,10,25,.400,2,8,.250,8,17,.471,.440,0,0,,1,3,4,6,1,1,3,2,22,12.2,-19
13,13,1,2014-04-19,GSW,@,LAC,W 109-105,*,44:39,6,16,.375,2,6,.333,4,10,.400,.438,0,0,,1,2,3,7,3,0,7,1,14,7.0,5
14,14,2,2014-04-21,GSW,@,LAC,L 98-138,*,31:00,9,17,.529,1,7,.143,8,10,.800,.559,5,5,1.000,0,1,1,8,2,0,2,4,24,20.0,-27
15,15,3,2014-04-24,GSW,,LAC,L 96-98,*,43:25,5,12,.417,3,8,.375,2,4,.500,.542,3,4,.750,0,2,2,15,1,0,3,3,16,17.1,-1
16,16,4,2014-04-27,GSW,,LAC,W 118-97,*,42:23,10,20,.500,7,14,.500,3,6,.500,.675,6,7,.857,1,6,7,7,1,1,2,3,33,28.5,25
17,17,5,2014-04-29,GSW,@,LAC,L 103-113,*,43:42,5,10,.500,4,7,.571,1,3,.333,.700,3,3,1.000,0,3,3,4,2,0,8,2,17,8.9,-3
18,18,6,2014-05-01,GSW,,LAC,W 100-99,*,45:29,9,24,.375,2,8,.250,7,16,.438,.417,4,7,.571,1,3,4,9,0,0,2,1,24,15.1,4
19,19,7,2014-05-03,GSW,@,LAC,L 121-126,*,45:50,7,17,.412,3,7,.429,4,10,.400,.500,16,16,1.000,1,4,5,9,3,0,2,4,33,31.5,2
20,20,1,2015-04-18,GSW,,NOP,W 106-99,*,40:06,13,25,.520,4,13,.308,9,12,.750,.600,4,7,.571,0,4,4,5,3,0,3,4,34,23.6,20
21,21,2,2015-04-20,GSW,,NOP,W 97-87,*,37:05,9,21,.429,3,9,.333,6,12,.500,.500,1,1,1.000,0,4,4,6,1,0,5,1,22,11.9,3
22,22,3,2015-04-23,GSW,@,NOP,W 123-119 (OT),*,43:51,10,29,.345,7,18,.389,3,11,.273,.466,13,14,.929,1,4,5,9,0,0,3,3,40,27.3,13
23,23,4,2015-04-25,GSW,@,NOP,W 109-98,*,38:14,11,20,.550,6,8,.750,5,12,.417,.700,11,12,.917,3,5,8,9,1,0,5,4,39,33.3,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,5,2015-05-03,GSW,,MEM,W 101-86,*,37:36,8,18,.444,4,8,.500,4,10,.400,.556,2,2,1.000,1,1,2,7,4,0,4,1,22,18.1,14
25,25,6,2015-05-05,GSW,,MEM,L 90-97,*,40:43,7,19,.368,2,11,.182,5,8,.625,.421,3,4,.750,0,5,5,6,0,0,3,0,19,10.8,-7
26,26,7,2015-05-09,GSW,@,MEM,L 89-99,*,39:33,8,21,.381,2,10,.200,6,11,.545,.429,5,7,.714,1,1,2,6,1,1,4,1,23,13.2,-6
27,27,8,2015-05-11,GSW,@,MEM,W 101-84,*,38:35,11,22,.500,4,9,.444,7,13,.538,.591,7,9,.778,2,6,8,5,2,0,4,4,33,24.3,19
28,28,9,2015-05-13,GSW,,MEM,W 98-78,*,32:33,6,16,.375,6,13,.462,0,3,.000,.563,0,0,,2,5,7,5,6,0,5,0,18,16.6,16
29,29,10,2015-05-15,GSW,@,MEM,W 108-95,*,38:40,11,25,.440,8,13,.615,3,12,.250,.600,2,2,1.000,0,6,6,10,0,0,4,3,32,22.5,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,11,2015-05-19,GSW,,HOU,W 110-106,*,39:25,13,22,.591,6,11,.545,7,11,.636,.727,2,3,.667,0,6,6,5,2,0,1,3,34,28.5,11
31,31,12,2015-05-21,GSW,,HOU,W 99-98,*,36:46,13,21,.619,5,11,.455,8,10,.800,.738,2,3,.667,0,3,3,6,1,0,6,2,33,22.4,-7
32,32,13,2015-05-23,GSW,@,HOU,W 115-80,*,34:58,12,19,.632,7,9,.778,5,10,.500,.816,9,10,.900,3,2,5,7,2,1,4,2,40,36.6,33
33,33,14,2015-05-25,GSW,@,HOU,L 115-128,*,30:59,7,18,.389,6,13,.462,1,5,.200,.556,3,3,1.000,1,0,1,4,0,0,0,3,23,15.5,-20
