Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,763,1,2021-10-19,GSW,@,LAL,W 121-114,*,36:11,5,21,.238,2,8,.250,3,13,.231,.286,9,9,1.000,1,9,10,10,3,0,4,1,21,17.3,4
2,764,2,2021-10-21,GSW,,LAC,W 115-113,*,37:33,16,25,.640,8,13,.615,8,12,.667,.800,5,5,1.000,0,10,10,1,1,1,6,2,45,32.5,-2
3,765,3,2021-10-24,GSW,@,SAC,W 119-107,*,35:16,9,23,.391,4,15,.267,5,8,.625,.478,5,6,.833,1,6,7,10,3,0,3,1,27,23.2,14
4,766,4,2021-10-26,GSW,@,OKC,W 106-98,*,32:18,6,14,.429,4,9,.444,2,5,.400,.571,7,7,1.000,1,5,6,4,0,1,4,1,23,16.9,15
5,767,5,2021-10-28,GSW,,MEM,L 101-104 (OT),*,40:40,11,29,.379,7,20,.350,4,9,.444,.500,7,7,1.000,1,6,7,8,1,0,5,2,36,23.4,12
6,768,6,2021-10-30,GSW,,OKC,W 103-82,*,27:11,7,16,.438,6,15,.400,1,1,1.000,.625,0,0,,0,5,5,6,1,1,2,1,20,16.6,17
7,769,7,2021-11-03,GSW,,CHO,W 114-92,*,35:25,6,15,.400,3,11,.273,3,4,.750,.500,0,0,,1,7,8,9,1,1,4,3,15,12.5,-1
8,770,8,2021-11-05,GSW,,NOP,W 126-85,*,29:45,5,16,.313,5,13,.385,0,3,.000,.469,4,4,1.000,0,3,3,6,0,2,1,1,19,14.9,17
9,771,9,2021-11-07,GSW,,HOU,W 120-107,*,26:49,8,16,.500,4,11,.364,4,5,.800,.625,0,0,,2,1,3,2,3,0,0,3,20,16.9,16
10,772,10,2021-11-08,GSW,,ATL,W 127-113,*,35:02,14,28,.500,9,19,.474,5,9,.556,.661,13,13,1.000,2,5,7,10,4,1,2,0,50,48.6,31
11,773,11,2021-11-10,GSW,,MIN,W 123-110,*,34:06,8,16,.500,3,9,.333,5,7,.714,.594,6,8,.750,0,5,5,6,1,0,3,2,25,19.1,11
12,774,12,2021-11-12,GSW,,CHI,W 119-93,*,34:13,15,24,.625,9,17,.529,6,7,.857,.813,1,1,1.000,0,4,4,5,1,1,6,1,40,29.2,31
13,775,13,2021-11-14,GSW,@,CHO,L 102-106,*,35:42,7,22,.318,3,13,.231,4,9,.444,.386,7,7,1.000,1,5,6,10,3,1,3,2,24,20.5,14
14,776,14,2021-11-16,GSW,@,BRK,W 117-99,*,29:15,12,19,.632,9,14,.643,3,5,.600,.868,4,4,1.000,0,7,7,5,2,1,2,4,37,33.2,16
15,777,15,2021-11-18,GSW,@,CLE,W 104-89,*,35:23,15,27,.556,9,16,.563,6,11,.545,.722,1,1,1.000,0,4,4,6,2,0,3,4,40,29.9,8
15,,16,2021-11-19,GSW,@,DET,W 105-102,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,778,17,2021-11-21,GSW,,TOR,W 119-104,*,37:04,2,10,.200,1,6,.167,1,4,.250,.250,7,7,1.000,0,2,2,8,1,0,4,1,12,8.6,19
17,779,18,2021-11-24,GSW,,PHI,W 116-96,*,34:55,9,16,.563,6,11,.545,3,5,.600,.750,1,2,.500,0,4,4,10,1,0,4,1,25,21.8,29
18,780,19,2021-11-26,GSW,,POR,W 118-103,*,38:04,12,25,.480,6,15,.400,6,10,.600,.600,2,3,.667,0,7,7,8,1,0,3,2,32,23.8,18
19,781,20,2021-11-28,GSW,@,LAC,W 105-90,*,34:47,12,22,.545,7,13,.538,5,9,.556,.705,2,2,1.000,0,5,5,6,6,0,3,4,33,29.5,14
20,782,21,2021-11-30,GSW,@,PHO,L 96-104,*,35:58,4,21,.190,3,14,.214,1,7,.143,.262,1,1,1.000,1,2,3,2,1,1,2,0,12,1.3,-17
21,783,22,2021-12-03,GSW,,PHO,W 118-96,*,33:24,8,20,.400,6,11,.545,2,9,.222,.550,1,2,.500,2,3,5,5,0,0,3,2,23,13.8,10
22,784,23,2021-12-04,GSW,,SAS,L 107-112,*,36:52,7,28,.250,5,17,.294,2,11,.182,.339,8,9,.889,1,7,8,5,3,0,1,1,27,17.7,3
23,785,24,2021-12-06,GSW,,ORL,W 126-95,*,30:58,8,16,.500,7,13,.538,1,3,.333,.719,8,8,1.000,0,3,3,8,2,0,3,2,31,27.7,9
24,786,25,2021-12-08,GSW,,POR,W 104-94,*,33:21,8,19,.421,6,17,.353,2,2,1.000,.579,0,0,,2,0,2,2,1,0,4,3,22,10.5,16
25,787,26,2021-12-11,GSW,@,PHI,L 93-102,*,36:14,6,20,.300,3,14,.214,3,6,.500,.375,3,4,.750,2,7,9,5,0,0,3,1,18,9.6,-9
26,788,27,2021-12-13,GSW,@,IND,W 102-100,*,35:21,8,20,.400,5,15,.333,3,5,.600,.525,5,5,1.000,1,5,6,6,1,1,7,1,26,15.9,17
27,789,28,2021-12-14,GSW,@,NYK,W 105-96,*,34:43,8,19,.421,5,14,.357,3,5,.600,.553,1,2,.500,0,3,3,3,1,1,4,4,22,10.6,13
28,790,29,2021-12-17,GSW,@,BOS,W 111-107,*,35:15,8,21,.381,5,14,.357,3,7,.429,.500,9,9,1.000,1,4,5,4,1,0,6,6,30,15.8,-10
28,,30,2021-12-18,GSW,@,TOR,L 100-119,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,791,31,2021-12-20,GSW,,SAC,W 113-98,*,36:14,13,27,.481,4,12,.333,9,15,.600,.556,0,1,.000,0,3,3,4,0,2,4,1,30,16.6,16
30,792,32,2021-12-23,GSW,,MEM,W 113-104,*,37:19,13,22,.591,8,14,.571,5,8,.625,.773,12,12,1.000,0,4,4,4,2,0,3,1,46,38.4,15
31,793,33,2021-12-25,GSW,@,PHO,W 116-107,*,37:12,10,27,.370,5,16,.313,5,11,.455,.463,8,9,.889,0,4,4,6,3,1,1,3,33,24.6,24
32,794,34,2021-12-28,GSW,,DEN,L 86-89,*,39:05,6,16,.375,5,14,.357,1,2,.500,.531,6,7,.857,0,4,4,4,0,0,6,3,23,10.6,5
33,795,35,2022-01-01,GSW,@,UTA,W 123-116,*,35:31,8,18,.444,6,12,.500,2,6,.333,.611,6,7,.857,0,6,6,9,0,1,3,3,28,22.8,4
34,796,36,2022-01-03,GSW,,MIA,W 115-108,*,32:01,3,17,.176,1,10,.100,2,7,.286,.206,2,2,1.000,0,3,3,10,0,1,2,3,9,3.7,0
35,797,37,2022-01-05,GSW,@,DAL,L 82-99,*,36:04,5,24,.208,1,9,.111,4,15,.267,.229,3,4,.750,0,9,9,5,0,1,5,2,14,-0.1,0
